game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor
2017_03_BAL_JAX,2017,3,JAX,BAL,2017-09-24T00:00:00,44,7,37,51,1,1,3,0,-0.12074705213308334,-0.11193828284740448,-0.04745372757315636,-0.2963925898075104,-0.2577476315200329,0.4285714328289032,0.40236687660217285,0.8888888955116272,0.8571428656578064,0.38461539149284363,0.4000000059604645,2,2,JAX Stadium,1
2017_03_DAL_ARI,2017,3,ARI,DAL,2017-09-25T00:00:00,17,28,-11,45,0,1,3,0,-0.1813701093196869,-0.1503535509109497,-0.09685183316469193,-0.05460589379072189,0.011229380965232849,0.3850574791431427,0.41988950967788696,0.3333333432674408,0.6666666865348816,0.3636363744735718,0.34375,2,2,ARI Stadium,0
2017_04_CHI_GB,2017,4,GB,CHI,2017-09-28T00:00:00,35,14,21,49,1,1,4,1,0.005750139709562063,0.014825784601271152,-0.0868149921298027,0.04928328096866608,0.1270226282067597,0.47122302651405334,0.3959183692932129,0.8780487775802612,1.028571367263794,0.4897959232330322,0.4318181872367859,3,3,GB Stadium,1
2017_04_BUF_ATL,2017,4,ATL,BUF,2017-10-01T00:00:00,17,23,-6,40,0,1,4,0,0.11282499879598618,-0.003330424427986145,-0.06397009640932083,-0.10743795335292816,0.07268756628036499,0.48523205518722534,0.353658527135849,0.8571428656578064,0.9090909361839294,0.5,0.4166666567325592,3,3,ATL Stadium,0
2017_04_PIT_BAL,2017,4,BAL,PIT,2017-10-01T00:00:00,9,26,-17,35,0,1,4,1,-0.11608473211526871,-0.10270042717456818,-0.03547083958983421,-0.11867927014827728,-0.0965927354991436,0.3983739912509918,0.42168673872947693,0.9375,0.6818181872367859,0.380952388048172,0.3499999940395355,3,3,BAL Stadium,1
2017_04_CIN_CLE,2017,4,CLE,CIN,2017-10-01T00:00:00,7,31,-24,38,0,1,4,1,-0.08784811198711395,-0.005503049120306969,-0.21143649518489838,-0.06468281149864197,0.06440862081944942,0.3962264060974121,0.3648068606853485,1.2000000476837158,0.375,0.2708333432674408,0.302325576543808,3,3,CLE Stadium,1
2017_04_LA_DAL,2017,4,DAL,LA,2017-10-01T00:00:00,30,35,-5,65,0,1,4,0,-0.042757466435432434,-0.058803852647542953,0.0976627841591835,-0.04491838812828064,-0.12653478607535362,0.4186991751194,0.46666666865348816,1.028571367263794,1.0909090042114258,0.31707316637039185,0.4444444477558136,3,3,DAL Stadium,0
2017_04_TEN_HOU,2017,4,HOU,TEN,2017-10-01T00:00:00,57,14,43,71,1,1,4,1,-0.12762510776519775,-0.0625077411532402,0.11022016406059265,0.03572491183876991,-0.1396126188337803,0.4052044749259949,0.4789271950721741,0.375,0.5853658318519592,0.42222222685813904,0.42222222685813904,3,3,HOU Stadium,1
2017_04_DET_MIN,2017,4,MIN,DET,2017-10-01T00:00:00,7,14,-7,21,0,1,4,1,0.05761424079537392,0.03766884282231331,-0.10657022148370743,-0.18665555119514465,-0.06013993173837662,0.4133858382701874,0.3818897604942322,1.0,0.7894736528396606,0.4888888895511627,0.3958333432674408,3,3,MIN Stadium,0
2017_04_CAR_NE,2017,4,NE,CAR,2017-10-01T00:00:00,30,33,-3,63,0,1,4,0,0.1014367863535881,0.10308903455734253,-0.07941627502441406,-0.11466246098279953,-0.03689843416213989,0.44964027404785156,0.4194915294647217,0.7058823704719543,0.3636363744735718,0.43478259444236755,0.45652174949645996,3,3,NE Stadium,1
2017_04_JAX_NYJ,2017,4,NYJ,JAX,2017-10-01T00:00:00,23,20,3,43,1,1,4,0,-0.030495621263980865,0.025286689400672913,0.009074010886251926,-0.15831151604652405,-0.22316783759742975,0.44796380400657654,0.4466403126716614,0.9000000357627869,0.9600000381469727,0.375,0.375,3,3,NYJ Stadium,1
