team,season,week,off_epa_play,def_epa_play,off_success_rate,def_success_rate,games_played,redzone_td_pct,third_down_pct
HOU,2024,8,0.0036284266971051693,-0.015238919295370579,0.4430014491081238,0.43829113245010376,8,0.875,0.3643410852713178
HOU,2024,9,0.004589237738400698,-0.0015399642288684845,0.43908628821372986,0.43971630930900574,9,0.8888888888888888,0.3581081081081081
HOU,2024,10,-0.008094449527561665,-0.009467792697250843,0.43707093596458435,0.44020354747772217,10,0.9,0.3619631901840491
HOU,2024,11,0.0019101282814517617,-0.03357695788145065,0.4387434422969818,0.4350282549858093,11,0.9090909090909091,0.35795454545454547
HOU,2024,12,-0.005679300520569086,-0.031051741912961006,0.4360465109348297,0.4373716711997986,12,0.9166666666666666,0.3507853403141361
HOU,2024,13,0.0009386648889631033,-0.027945425361394882,0.43744373321533203,0.43584907054901123,13,0.9230769230769231,0.35609756097560974
HOU,2024,14,0.0009386648889631033,-0.027945425361394882,0.43744373321533203,0.43584907054901123,13,0.9230769230769231,0.35609756097560974
HOU,2024,15,-0.005380172282457352,-0.03815865516662598,0.43877550959587097,0.43832021951675415,14,0.9285714285714286,0.3561643835616438
HOU,2024,16,-0.0016309451311826706,-0.028103921562433243,0.4380495548248291,0.4434499740600586,15,0.9333333333333333,0.36324786324786323
HOU,2024,17,-0.016009347513318062,-0.011546550318598747,0.4352762997150421,0.45057472586631775,16,0.875,0.357429718875502
HOU,2024,18,-0.012292047031223774,-0.016509631648659706,0.439513236284256,0.4479016065597534,17,0.8823529411764706,0.3622641509433962
MIA,2024,1,-0.006285218521952629,-0.04175207391381264,0.43529412150382996,0.4305555522441864,1,1.0,0.4444444444444444
MIA,2024,2,-0.12354006618261337,0.028733011335134506,0.45402297377586365,0.42424243688583374,2,1.0,0.4411764705882353
MIA,2024,3,-0.19923730194568634,-0.008690002374351025,0.4150197505950928,0.4218009412288666,3,0.6666666666666666,0.3541666666666667
MIA,2024,4,-0.21515041589736938,0.005991075187921524,0.40243902802467346,0.4208754301071167,4,0.75,0.3114754098360656
MIA,2024,5,-0.17850591242313385,-0.030190080404281616,0.40334129333496094,0.4190981388092041,5,0.8,0.3108108108108108
MIA,2024,6,-0.17850591242313385,-0.030190080404281616,0.40334129333496094,0.4190981388092041,5,0.8,0.3108108108108108
MIA,2024,7,-0.1865079551935196,-0.052242211997509,0.4107142984867096,0.4135667383670807,6,0.8333333333333334,0.3333333333333333
MIA,2024,8,-0.13483163714408875,-0.010029986500740051,0.42783504724502563,0.4314814805984497,7,0.8571428571428571,0.3904761904761905
