game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor,is_playoff,game_type,gameday
2015_03_WAS_NYG,2015,3,NYG,WAS,2015-09-24T00:00:00,32.0,21.0,11.0,53.0,1,1,3,1,0.0656356960535049,0.0844360962510109,-0.076864868402481,-0.1276013255119323,-0.0695368573069572,0.4060606062412262,0.4114285707473755,0.4137930870056152,0.782608687877655,0.5,0.4210526347160339,2,2,NYG Stadium,1,False,,
2015_03_CIN_BAL,2015,3,BAL,CIN,2015-09-27T00:00:00,24.0,28.0,-4.0,52.0,0,1,3,1,0.0374168381094932,0.0613855607807636,0.0775107070803642,-0.0924620032310485,-0.1939414329826831,0.4628571569919586,0.4512194991111755,0.3333333432674408,0.782608687877655,0.3571428656578064,0.3703703582286834,2,2,BAL Stadium,1,False,,
2015_03_NO_CAR,2015,3,CAR,NO,2015-09-27T00:00:00,27.0,22.0,5.0,49.0,1,1,3,1,-0.0830695256590843,-0.1819491237401962,-0.0856514126062393,0.0362416058778762,0.2207726165652275,0.3791208863258362,0.3602150678634643,0.4285714328289032,1.0,0.3939394056797027,0.4285714328289032,2,2,CAR Stadium,1,False,,
2015_03_OAK_CLE,2015,3,CLE,OAK,2015-09-27T00:00:00,20.0,27.0,-7.0,47.0,0,1,3,0,-0.1066175699234008,-0.053450159728527,0.0,0.0,0.0,0.4054054021835327,0.0,0.3000000119209289,0.0,0.3870967626571655,0.0,2,0,CLE Stadium,1,False,,
2015_03_ATL_DAL,2015,3,DAL,ATL,2015-09-27T00:00:00,28.0,39.0,-11.0,67.0,0,1,3,0,-0.0383230894804,-0.1113740503787994,0.0395922400057315,0.0053711901418864,0.0388299110345542,0.4731182754039764,0.4285714328289032,0.5,0.9600000381469728,0.4827586114406585,0.5,2,2,DAL Stadium,0,False,,
2015_03_TB_HOU,2015,3,HOU,TB,2015-09-27T00:00:00,19.0,9.0,10.0,28.0,1,1,3,0,-0.1186143308877945,-0.0365636982023716,-0.1450593471527099,-0.0214098840951919,0.0415988303720951,0.3668341636657715,0.3964497148990631,0.8275861740112305,0.5625,0.2972972989082336,0.2580645084381103,2,2,HOU Stadium,0,False,,
2015_03_SD_MIN,2015,3,MIN,SD,2015-09-27T00:00:00,31.0,14.0,17.0,45.0,1,1,3,0,-0.0874451994895935,-0.0321669206023216,0.0,0.0,0.0,0.3783783912658691,0.0,0.514285683631897,0.0,0.3333333432674408,0.0,2,0,MIN Stadium,1,False,,
2015_03_JAX_NE,2015,3,NE,JAX,2015-09-27T00:00:00,51.0,17.0,34.0,68.0,1,1,3,0,0.1482843607664108,0.0350047163665294,-0.1308449655771255,-0.0660782754421234,0.1780463345348835,0.5056179761886597,0.3976608216762543,1.105263113975525,0.5,0.47826087474823,0.3333333432674408,2,2,NE Stadium,1,False,,
2015_03_PHI_NYJ,2015,3,NYJ,PHI,2015-09-27T00:00:00,17.0,24.0,-7.0,41.0,0,1,3,0,0.0142942452803254,-0.218349739909172,-0.1608336269855499,-0.0761586725711822,0.3173189396038651,0.4423076808452606,0.4285714328289032,1.058823585510254,0.9600000381469728,0.4333333373069763,0.1851851791143417,2,2,NYJ Stadium,1,False,,
2015_03_PIT_STL,2015,3,STL,PIT,2015-09-27T00:00:00,6.0,12.0,-6.0,18.0,0,1,3,0,0.0,0.0,0.2469348609447479,0.1060629859566688,0.0,0.0,0.4838709533214569,0.0,1.1351351737976074,0.0,0.5,0,2,STL Stadium,0,False,,
